ID,Name,Form,Level-up moves,Tm compatibility
23,Ekans, ,1-MOVE_LEER | 1-MOVE_WRAP | 1-MOVE_POISON_STING | 4-MOVE_BITE | 7-MOVE_ACID | 10-MOVE_GLARE | 13-MOVE_MUD_BOMB | 16-MOVE_SCREECH | 18-MOVE_POISON_FANG | 20-MOVE_COIL | 23-MOVE_FIRE_FANG | 23-MOVE_ICE_FANG | 23-MOVE_THUNDER_FANG | 25-MOVE_DISABLE | 28-MOVE_BREAKING_SWIPE | 31-MOVE_POISON_TAIL | 34-MOVE_ACID_SPRAY | 37-MOVE_SPITE | 40-MOVE_SUCKER_PUNCH | 43-MOVE_LUNGE | 46-MOVE_SWITCHEROO | 49-MOVE_CRUNCH | 52-MOVE_HAZE | 55-MOVE_GUNK_SHOT,
24,Arbok, ,1-MOVE_LEER | 1-MOVE_WRAP | 1-MOVE_POISON_STING | 4-MOVE_BITE | 7-MOVE_ACID | 10-MOVE_GLARE | 13-MOVE_MUD_BOMB | 16-MOVE_SCREECH | 18-MOVE_POISON_FANG | 20-MOVE_COIL | 22-MOVE_SCARY_FACE | 23-MOVE_FIRE_FANG | 23-MOVE_ICE_FANG | 23-MOVE_THUNDER_FANG | 26-MOVE_DISABLE | 29-MOVE_BREAKING_SWIPE | 32-MOVE_POISON_TAIL | 35-MOVE_ACID_SPRAY | 39-MOVE_SPITE | 42-MOVE_SUCKER_PUNCH | 45-MOVE_LUNGE | 48-MOVE_SWITCHEROO | 52-MOVE_CRUNCH | 56-MOVE_HAZE | 60-MOVE_GUNK_SHOT,
25,Pikachu, ,1-MOVE_REFRESH | 1-MOVE_YAWN | 1-MOVE_QUICK_ATTACK | 3-MOVE_CHARGE | 6-MOVE_SING | 8-MOVE_TICKLE | 10-MOVE_DISARMING_VOICE | 12-MOVE_SPARK | 14-MOVE_WISH | 16-MOVE_THUNDER_WAVE | 18-MOVE_DOUBLE_KICK | 21-MOVE_NUZZLE | 24-MOVE_ELECTRO_BALL | 27-MOVE_IRON_TAIL | 30-MOVE_AGILITY | 34-MOVE_THUNDERBOLT | 38-MOVE_TEETER_DANCE | 42-MOVE_PLAY_ROUGH | 46-MOVE_DISCHARGE | 50-MOVE_EXTREME_SPEED | 54-MOVE_HEART_STAMP | 58-MOVE_ICICLE_CRASH | 58-MOVE_METEOR_MASH | 58-MOVE_DRAINING_KISS | 62-MOVE_VOLT_TACKLE,HM01-MOVE_CUT | HM02-MOVE_FLY | HM03-MOVE_SURF
26,Raichu, ,1-MOVE_CHARM | 1-MOVE_FAKE_OUT | 1-MOVE_NASTY_PLOT | 1-MOVE_NUZZLE | 1-MOVE_QUICK_ATTACK | 1-MOVE_THUNDERBOLT | 1-MOVE_TICKLE | 1-MOVE_WISH | 25-MOVE_SHOCK_WAVE | 45-MOVE_REVERSAL | 65-MOVE_VOLT_TACKLE,TM29-MOVE_PSYCHIC | HM01-MOVE_CUT | HM02-MOVE_FLY | HM03-MOVE_SURF
27,Sandshrew, ,1-MOVE_DEFENSE_CURL | 1-MOVE_ROLLOUT | 1-MOVE_SAND_ATTACK | 1-MOVE_SCRATCH | 4-MOVE_POISON_STING | 7-MOVE_MAGNITUDE | 10-MOVE_FURY_CUTTER | 13-MOVE_SCORCHING_SANDS | 16-MOVE_METAL_CLAW | 19-MOVE_BULLDOZE | 22-MOVE_ACCELEROCK | 24-MOVE_SLASH | 24-MOVE_NIGHT_SLASH | 26-MOVE_SUPER_FANG | 28-MOVE_AGILITY | 31-MOVE_CHIP_AWAY | 34-MOVE_SPIKES | 37-MOVE_PIN_MISSILE | 40-MOVE_DRILL_RUN | 44-MOVE_CRUSH_CLAW | 48-MOVE_RAPID_SPIN | 52-MOVE_LEECH_LIFE | 56-MOVE_FOCUS_PUNCH,TM23-MOVE_SMACK_DOWN
28,Sandslash, ,1-MOVE_COUNTER | 1-MOVE_DEFENSE_CURL | 1-MOVE_ROLLOUT | 1-MOVE_SCRATCH | 4-MOVE_POISON_STING | 7-MOVE_MAGNITUDE | 10-MOVE_FURY_CUTTER | 13-MOVE_SCORCHING_SANDS | 16-MOVE_METAL_CLAW | 19-MOVE_BULLDOZE | 22-MOVE_ACCELEROCK | 23-MOVE_FLING | 25-MOVE_SLASH | 25-MOVE_NIGHT_SLASH | 27-MOVE_SUPER_FANG | 29-MOVE_AGILITY | 32-MOVE_CHIP_AWAY | 35-MOVE_SPIKES | 38-MOVE_PIN_MISSILE | 42-MOVE_DRILL_RUN | 46-MOVE_CRUSH_CLAW | 50-MOVE_RAPID_SPIN | 54-MOVE_LEECH_LIFE | 58-MOVE_FOCUS_PUNCH | 62-MOVE_HEADLONG_RUSH,TM23-MOVE_SMACK_DOWN | TM47-MOVE_LOW_SWEEP | TM69-MOVE_ROCK_POLISH
29,Nidoran,Female,1-MOVE_GROWL | 1-MOVE_POISON_STING | 1-MOVE_SCRATCH | 1-MOVE_TAIL_WHIP | 4-MOVE_PECK | 7-MOVE_DOUBLE_KICK | 10-MOVE_FURY_ATTACK | 13-MOVE_POISON_FANG | 16-MOVE_HORN_ATTACK | 19-MOVE_HELPING_HAND | 22-MOVE_TOXIC_SPIKES | 25-MOVE_POISON_JAB | 28-MOVE_DISABLE | 31-MOVE_AMNESIA | 34-MOVE_CRUNCH | 37-MOVE_SMART_STRIKE | 40-MOVE_POISON_TAIL | 44-MOVE_SCORCHING_SANDS | 48-MOVE_TAKE_DOWN | 52-MOVE_SUCKER_PUNCH | 56-MOVE_HEAD_SMASH,
30,Nidorina, ,1-MOVE_GROWL | 1-MOVE_POISON_STING | 1-MOVE_SCRATCH | 1-MOVE_TAIL_WHIP | 4-MOVE_PECK | 7-MOVE_DOUBLE_KICK | 10-MOVE_FURY_ATTACK | 13-MOVE_POISON_FANG | 16-MOVE_HORN_ATTACK | 20-MOVE_HELPING_HAND | 23-MOVE_TOXIC_SPIKES | 26-MOVE_POISON_JAB | 29-MOVE_DISABLE | 32-MOVE_AMNESIA | 36-MOVE_CRUNCH | 40-MOVE_SMART_STRIKE | 44-MOVE_POISON_TAIL | 48-MOVE_SCORCHING_SANDS | 52-MOVE_TAKE_DOWN | 56-MOVE_SUCKER_PUNCH | 60-MOVE_HEAD_SMASH,
31,Nidoqueen, ,1-MOVE_AVALANCHE | 1-MOVE_DISABLE | 1-MOVE_FLING | 1-MOVE_HELPING_HAND | 1-MOVE_HIGH_HORSEPOWER | 1-MOVE_MOONBLAST | 1-MOVE_MOONLIGHT | 1-MOVE_PLAY_ROUGH | 1-MOVE_POISON_STING | 1-MOVE_TOXIC_SPIKES | 25-MOVE_CHIP_AWAY | 35-MOVE_POISON_TAIL | 45-MOVE_SEISMIC_TOSS | 58-MOVE_SCORCHING_SANDS,TM47-MOVE_LOW_SWEEP
32,Nidoran,Male,1-MOVE_GROWL | 1-MOVE_POISON_STING | 1-MOVE_SCRATCH | 1-MOVE_TAIL_WHIP | 4-MOVE_PECK | 7-MOVE_DOUBLE_KICK | 10-MOVE_FURY_ATTACK | 13-MOVE_POISON_FANG | 16-MOVE_HORN_ATTACK | 19-MOVE_HELPING_HAND | 22-MOVE_FOCUS_ENERGY | 25-MOVE_POISON_JAB | 28-MOVE_BEAT_UP | 31-MOVE_BODY_SLAM | 34-MOVE_CRUNCH | 37-MOVE_SMART_STRIKE | 40-MOVE_POISON_TAIL | 44-MOVE_SCORCHING_SANDS | 48-MOVE_TAKE_DOWN | 52-MOVE_SUCKER_PUNCH | 56-MOVE_HEAD_SMASH,
33,Nidorino, ,1-MOVE_GROWL | 1-MOVE_POISON_STING | 1-MOVE_SCRATCH | 1-MOVE_TAIL_WHIP | 4-MOVE_PECK | 7-MOVE_DOUBLE_KICK | 10-MOVE_FURY_ATTACK | 13-MOVE_POISON_FANG | 16-MOVE_HORN_ATTACK | 20-MOVE_HELPING_HAND | 23-MOVE_FOCUS_ENERGY | 26-MOVE_POISON_JAB | 29-MOVE_BEAT_UP | 32-MOVE_BODY_SLAM | 36-MOVE_CRUNCH | 40-MOVE_SMART_STRIKE | 44-MOVE_POISON_TAIL | 48-MOVE_SCORCHING_SANDS | 52-MOVE_TAKE_DOWN | 56-MOVE_SUCKER_PUNCH | 60-MOVE_HEAD_SMASH,
34,Nidoking, ,1-MOVE_AVALANCHE | 1-MOVE_DISABLE | 1-MOVE_CONFUSION | 1-MOVE_DISABLE | 1-MOVE_HEAD_SMASH | 1-MOVE_HIGH_HORSEPOWER | 1-MOVE_MORNING_SUN | 1-MOVE_SMART_STRIKE | 1-MOVE_PLAY_ROUGH | 1-MOVE_POISON_STING | 25-MOVE_CHIP_AWAY | 35-MOVE_POISON_TAIL | 45-MOVE_MEGAHORN | 58-MOVE_SCORCHING_SANDS,TM47-MOVE_LOW_SWEEP
35,Clefairy, ,1-MOVE_GROWL | 1-MOVE_DEFENSE_CURL | 1-MOVE_POUND | 4-MOVE_METRONOME | 7-MOVE_SING | 10-MOVE_DISARMING_VOICE | 13-MOVE_STORED_POWER | 16-MOVE_MOONLIGHT | 19-MOVE_FOLLOW_ME | 21-MOVE_DRAINING_KISS | 23-MOVE_SEISMIC_TOSS | 25-MOVE_HEAL_PULSE | 27-MOVE_MAGICAL_LEAF | 29-MOVE_HEALING_WISH | 31-MOVE_HELPING_HAND | 34-MOVE_AROMATHERAPY | 38-MOVE_DAZZLING_GLEAM | 42-MOVE_MOONBLAST | 46-MOVE_BELLY_DRUM | 50-MOVE_SEISMIC_TOSS | 54-MOVE_WISH | 58-MOVE_COSMIC_POWER | 62-MOVE_METEOR_MASH | 66-MOVE_LUNAR_DANCE,TM66-MOVE_POWER_GEM
36,Clefable, ,1-MOVE_AROMATHERAPY | 1-MOVE_METRONOME | 1-MOVE_SING | 1-MOVE_SOFT_BOILED | 30-MOVE_WISH | 50-MOVE_MOONBLAST | 65-MOVE_LUNAR_DANCE,TM66-MOVE_POWER_GEM
37,Vulpix, ,1-MOVE_EMBER | 1-MOVE_SPITE | 1-MOVE_TAIL_WHIP | 4-MOVE_SAFEGUARD | 7-MOVE_CONFUSE_RAY | 10-MOVE_QUICK_ATTACK | 13-MOVE_CAPTIVATE | 16-MOVE_FEINT_ATTACK | 19-MOVE_FIRE_SPIN | 22-MOVE_HYPNOSIS | 25-MOVE_ZEN_HEADBUTT | 28-MOVE_HEX | 31-MOVE_FLAME_BURST | 34-MOVE_OMINOUS_WIND | 37-MOVE_PAIN_SPLIT | 40-MOVE_IMPRISON | 44-MOVE_INFERNO | 48-MOVE_MEMENTO | 52-MOVE_FLARE_BLITZ | 56-MOVE_EXTRASENSORY | 60-MOVE_GRUDGE,TM20-MOVE_TRI_ATTACK | TM32-MOVE_DAZZLING_GLEAM | TM66-MOVE_POWER_GEM
38,Ninetales, ,1-MOVE_CAPTIVATE | 1-MOVE_DISABLE | 1-MOVE_FOUL_PLAY | 1-MOVE_GRUDGE | 1-MOVE_HEX | 1-MOVE_HYPNOSIS | 1-MOVE_IMPRISON | 1-MOVE_ROLE_PLAY | 1-MOVE_SPITE | 1-MOVE_STORED_POWER | 1-MOVE_QUICK_ATTACK | 45-MOVE_INFERNO | 55-MOVE_MOONBLAST | 60-MOVE_EXTRASENSORY | 65-MOVE_NASTY_PLOT,TM20-MOVE_TRI_ATTACK | TM29-MOVE_PSYCHIC | TM30-MOVE_SHADOW_BALL | TM32-MOVE_DAZZLING_GLEAM | TM66-MOVE_POWER_GEM | TM70-MOVE_FLASH
39,Jigglypuff, ,1-MOVE_DEFENSE_CURL | 1-MOVE_SING | 1-MOVE_POUND | 4-MOVE_FAKE_TEARS | 7-MOVE_BESTOW | 9-MOVE_DISARMING_VOICE | 11-MOVE_DOUBLE_SLAP | 13-MOVE_DISABLE | 15-MOVE_WAKE_UP_SLAP | 17-MOVE_METRONOME | 19-MOVE_MIMIC | 22-MOVE_UPROAR | 24-MOVE_METRONOME | 27-MOVE_COVET | 29-MOVE_WISH | 32-MOVE_DRAINING_KISS | 36-MOVE_BODY_SLAM | 40-MOVE_HYPER_VOICE | 44-MOVE_MOONBLAST | 49-MOVE_PERISH_SONG | 54-MOVE_PLAY_ROUGH | 59-MOVE_BOOMBURST,TM66-MOVE_POWER_GEM
